name,city,country
London Heathrow Airport,London,United Kingdom
Los Angeles International Airport,Los Angeles,United States
Chicago O'Hare International Airport,Chicago,United States
John F Kennedy International Airport,New York,United States
Hartsfield Jackson Atlanta International Airport,Atlanta,United States
Charles de Gaulle International Airport,"Paris (Roissy-en-France, Val-d'Oise)",France
San Francisco International Airport,San Francisco,United States
Amsterdam Airport Schiphol,Amsterdam,Netherlands
Frankfurt Airport,Frankfurt am Main,Germany
Dallas Fort Worth International Airport,Dallas-Fort Worth,United States
Newark Liberty International Airport,Newark,United States
Harry Reid International Airport,Las Vegas,United States
Orlando International Airport,Orlando,United States
Denver International Airport,Denver,United States
Washington Dulles International Airport,Dulles,United States
LaGuardia Airport,New York,United States
Miami International Airport,Miami,United States
Seattle–Tacoma International Airport,Seattle,United States
Phoenix Sky Harbor International Airport,Phoenix,United States
Logan International Airport,Boston,United States
Philadelphia International Airport,Philadelphia,United States
Charlotte Douglas International Airport,Charlotte,United States
London Gatwick Airport,London,United Kingdom
George Bush Intercontinental Houston Airport,Houston,United States
Ronald Reagan Washington National Airport,Washington,United States
Detroit Metropolitan Wayne County Airport,Detroit,United States
Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,Minneapolis,United States
Toronto Lester B. Pearson International Airport,Toronto,Canada
Munich Airport,Munich,Germany
Josep Tarradellas Barcelona-El Prat Airport,Barcelona,Spain
Rome–Fiumicino Leonardo da Vinci International Airport,Rome,Italy
Adolfo Suárez Madrid–Barajas Airport,Madrid,Spain
Salt Lake City International Airport,Salt Lake City,United States
Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States
Chicago Midway International Airport,Chicago,United States
Baltimore/Washington International Thurgood Marshall Airport,Baltimore,United States
San Diego International Airport,San Diego,United States
Zürich Airport,Zurich,Switzerland
Dublin Airport,Dublin,Ireland
Copenhagen Kastrup Airport,Copenhagen,Denmark
Brussels Airport,Zaventem,Belgium
St. Louis Lambert International Airport,St Louis,United States
Dubai International Airport,Dubai,United Arab Emirates
Vienna International Airport,Vienna,Austria
Vancouver International Airport,Vancouver,Canada
Daniel K Inouye International Airport,"Honolulu, Oahu",United States
London Stansted Airport,London,United Kingdom
Singapore Changi Airport,Singapore,Singapore
Narita International Airport,Narita,Japan
Portland International Airport,Portland,United States
Louis Armstrong New Orleans International Airport,New Orleans,United States
Tampa International Airport,Tampa,United States
Humberto Delgado Airport (Lisbon Portela Airport),Lisbon,Portugal
Montreal / Pierre Elliott Trudeau International Airport,Montréal,Canada
Nashville International Airport,Nashville,United States
Hong Kong International Airport,Hong Kong,Hong Kong
Stockholm-Arlanda Airport,Stockholm,Sweden
Cincinnati Northern Kentucky International Airport,Cincinnati / Covington,United States
Václav Havel Airport Prague,Prague,Czech Republic
Sydney Kingsford Smith International Airport,Sydney (Mascot),Australia
Suvarnabhumi Airport,Bangkok,Thailand
Cancún International Airport,Cancún,Mexico
Austin Bergstrom International Airport,Austin,United States
Raleigh Durham International Airport,Raleigh/Durham,United States
Milan Malpensa International Airport,Ferno (VA),Italy
Pittsburgh International Airport,Pittsburgh,United States
Athens Eleftherios Venizelos International Airport,Spata-Artemida,Greece
Budapest Liszt Ferenc International Airport,Budapest,Hungary
"Oslo Airport, Gardermoen",Oslo,Norway
Berlin-Tegel Otto Lilienthal Airport,Berlin,Germany
İstanbul Atatürk Airport,"Bakırköy, Istanbul",Turkey
Keflavik International Airport,Reykjavík,Iceland
Norman Y. Mineta San Jose International Airport,San Jose,United States
San Antonio International Airport,San Antonio,United States
Kansas City International Airport,Kansas City,United States
San Francisco Bay Oakland International Airport,Oakland,United States
Helsinki Vantaa Airport,Helsinki,Finland
John Wayne Orange County International Airport,Santa Ana,United States
Manchester Airport,"Manchester, Greater Manchester",United Kingdom
Beijing Capital International Airport,Beijing,China
Memphis International Airport,Memphis,United States
Edinburgh Airport,Edinburgh,United Kingdom
Cleveland Hopkins International Airport,Cleveland,United States
Geneva Cointrin International Airport,Geneva,Switzerland
William P Hobby Airport,Houston,United States
Paris-Orly Airport,"Paris (Orly, Val-de-Marne)",France
Dallas Love Field,Dallas,United States
Kuala Lumpur International Airport,Sepang,Malaysia
Indianapolis International Airport,Indianapolis,United States
Düsseldorf Airport,Düsseldorf,Germany
Calgary International Airport,Calgary,Canada
Benito Juárez International Airport,Ciudad de México,Mexico
London Luton Airport,"Luton, Bedfordshire",United Kingdom
Warsaw Chopin Airport,Warsaw,Poland
Incheon International Airport,Seoul,South Korea
Venice Marco Polo Airport,Venezia (VE),Italy
John Glenn Columbus International Airport,Columbus,United States
Albuquerque International Sunport,Albuquerque,United States
Palma de Mallorca Airport,Palma de Mallorca,Spain
Indira Gandhi International Airport,New Delhi,India
Málaga-Costa del Sol Airport,Málaga,Spain
Shanghai Pudong International Airport,Shanghai (Pudong),China
Melbourne International Airport,Melbourne,Australia
Nice-Côte d'Azur Airport,"Nice, Alpes-Maritimes",France
General Mitchell International Airport,Milwaukee,United States
Luis Munoz Marin International Airport,San Juan,Puerto Rico
O.R. Tambo International Airport,Johannesburg,South Africa
Tucson International Airport / Morris Air National Guard Base,Tucson,United States
Jacksonville International Airport,Jacksonville,United States
Hamburg Helmut Schmidt Airport,Hamburg,Germany
Guarulhos - Governador André Franco Montoro International Airport,São Paulo,Brazil
Buffalo Niagara International Airport,Buffalo,United States
Ben Gurion International Airport,Tel Aviv,Israel
Bradley International Airport,Hartford,United States
Glasgow International Airport,"Paisley, Renfrewshire",United Kingdom
Tokyo Haneda International Airport,Tokyo,Japan
Ted Stevens Anchorage International Airport,Anchorage,United States
Auckland International Airport,Auckland,New Zealand
Don Mueang International Airport,Bangkok,Thailand
Ottawa Macdonald-Cartier International Airport,Ottawa,Canada
Sheremetyevo International Airport,Moscow,Russia
Cologne Bonn Airport,Köln (Cologne),Germany
Minister Pistarini International Airport,Buenos Aires (Ezeiza),Argentina
Will Rogers World Airport,Oklahoma City,United States
Taiwan Taoyuan International Airport,Taoyuan,Taiwan
Cairo International Airport,Cairo,Egypt
Chhatrapati Shivaji International Airport,Mumbai,India
Berlin-Schönefeld Airport,Berlin,Germany
Brisbane International Airport,Brisbane,Australia
Kahului International Airport,Kahului,United States
Sacramento International Airport,Sacramento,United States
Milano Linate Airport,Segrate (MI),Italy
Zayed International Airport,Abu Dhabi,United Arab Emirates
Jorge Chávez International Airport,Lima,Peru
Denpasar I Gusti Ngurah Rai International Airport,"Kuta, Badung",Indonesia
Hamad International Airport,Doha,Qatar
Eppley Airfield,Omaha,United States
Hollywood Burbank Airport,Burbank,United States
Charleston International Airport,Charleston,United States
Malta International Airport,Valletta,Malta
Palm Beach International Airport,West Palm Beach,United States
Louisville Muhammad Ali International Airport,Louisville,United States
Ninoy Aquino International Airport,Manila (Pasay),Philippines
Billy Bishop Toronto City Centre Airport,Toronto,Canada
Birmingham Airport,"Birmingham, West Midlands",United Kingdom
Rio Galeão – Tom Jobim International Airport,Rio De Janeiro,Brazil
Reno Tahoe International Airport,Reno,United States
El Paso International Airport,El Paso,United States
Comodoro Arturo Merino Benítez International Airport,Santiago,Chile
Gran Canaria Airport,Gran Canaria Island,Spain
Theodore Francis Green State Airport,Warwick,United States
Norfolk International Airport,Norfolk,United States
London City Airport,London,United Kingdom
Cape Town International Airport,Cape Town,South Africa
Stuttgart Airport,Stuttgart,Germany
Edmonton International Airport,Edmonton,Canada
